expiration,strike,type_call,last_call,mark_call,bid_call,bid_size_call,ask_call,ask_size_call,volume_call,open_interest_call,date_call,implied_volatility_call,delta_call,gamma_call,theta_call,vega_call,rho_call,week_call,type_put,last_put,mark_put,bid_put,bid_size_put,ask_put,ask_size_put,volume_put,open_interest_put,date_put,implied_volatility_put,delta_put,gamma_put,theta_put,vega_put,rho_put,week_put,open_interest_diff
2020-02-21,314.0,call,19.43,19.63,19.48,5,19.79,5,34,9339,2020-02-21,0.62515,0.96835,0.00652,-0.40117,0.01241,0.00831,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,2868,1603,0,2020-02-21,0.43827,-0.00418,0.00161,-0.04708,0.00215,-4e-05,2020-02-15/2020-02-21,0.7934843950009393
2020-02-21,315.0,call,18.7,18.61,18.48,5,18.74,5,150,17357,2020-02-21,0.5814,0.97062,0.00659,-0.35253,0.01167,0.00836,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,2065,0,0,2020-02-21,0.41738,-0.00437,0.00176,-0.0466,0.00224,-4e-05,2020-02-15/2020-02-21,1.5061557892059863
2020-02-21,316.0,call,17.34,17.63,17.48,5,17.78,5,84,10858,2020-02-21,0.57012,0.96567,0.00764,-0.39165,0.01328,0.00834,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,2764,0,0,2020-02-21,0.39665,-0.00458,0.00193,-0.04626,0.00234,-4e-05,2020-02-15/2020-02-21,0.9284990929053376
2020-02-21,317.0,call,16.72,16.63,16.48,5,16.79,5,61,9988,2020-02-21,0.54238,0.96414,0.00833,-0.3863,0.01376,0.00835,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,5551,0,0,2020-02-21,0.37577,-0.00482,0.00213,-0.04579,0.00244,-4e-05,2020-02-15/2020-02-21,0.8511700690891253
2020-02-21,318.0,call,15.69,15.63,15.48,5,15.79,5,73,11797,2020-02-21,0.51464,0.96243,0.00912,-0.38101,0.01429,0.00836,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,1244,3454,0,2020-02-21,0.35488,-0.00508,0.00237,-0.04534,0.00256,-5e-05,2020-02-15/2020-02-21,1.0119611082655944
2020-02-21,319.0,call,14.69,14.63,14.48,5,14.79,5,41,14560,2020-02-21,0.48659,0.96057,0.01003,-0.37491,0.01487,0.00838,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,1244,4435,0,2020-02-21,0.33385,-0.00536,0.00264,-0.04475,0.00269,-5e-05,2020-02-15/2020-02-21,1.2575474218336344
2020-02-21,320.0,call,13.56,13.63,13.48,5,13.79,5,554,26548,2020-02-21,0.45854,0.95845,0.0111,-0.36892,0.01551,0.00838,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,1304,7511,0,2020-02-21,0.31281,-0.00569,0.00297,-0.04419,0.00283,-5e-05,2020-02-15/2020-02-21,2.3230880396597886
2020-02-21,321.0,call,12.53,12.63,12.49,5,12.78,5,161,15907,2020-02-21,0.43019,0.9561,0.01237,-0.36213,0.01622,0.00839,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,1289,3730,0,2020-02-21,0.29178,-0.00607,0.00337,-0.04367,0.003,-6e-05,2020-02-15/2020-02-21,1.3772740828456322
2020-02-21,322.0,call,11.68,11.63,11.48,5,11.79,5,522,13068,2020-02-21,0.40168,0.9534,0.0139,-0.35502,0.01702,0.00839,2020-02-15/2020-02-21,put,0.02,0.01,0.0,0,0.01,1898,1837,80404,2020-02-21,0.27059,-0.0065,0.00387,-0.04303,0.00319,-6e-05,2020-02-15/2020-02-21,-6.021691353399157
2020-02-21,323.0,call,10.71,10.64,10.5,5,10.79,5,289,19740,2020-02-21,0.37836,0.94785,0.01615,-0.36537,0.01861,0.00837,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,1244,3334,0,2020-02-21,0.24925,-0.007,0.00448,-0.04228,0.0034,-6e-05,2020-02-15/2020-02-21,1.7179662073140713
2020-02-21,324.0,call,9.64,9.63,9.48,5,9.79,5,838,18449,2020-02-21,0.34391,0.94668,0.01808,-0.33903,0.01895,0.00839,2020-02-15/2020-02-21,put,0.02,0.01,0.0,0,0.01,2870,16871,40124,2020-02-21,0.22791,-0.00761,0.00527,-0.04161,0.00366,-7e-05,2020-02-15/2020-02-21,-1.9631619781439
2020-02-21,325.0,call,8.85,8.66,8.54,560,8.79,5,1480,29528,2020-02-21,0.32867,0.93427,0.02229,-0.37997,0.02232,0.0083,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,1243,6876,95798,2020-02-21,0.20641,-0.00834,0.00631,-0.04086,0.00397,-8e-05,2020-02-15/2020-02-21,-5.926941078240441
2020-02-21,326.0,call,7.72,7.67,7.56,5,7.79,5,288,24621,2020-02-21,0.30214,0.92578,0.02663,-0.38333,0.02451,0.00825,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,2717,18404,0,2020-02-21,0.18461,-0.00921,0.0077,-0.03984,0.00433,-8e-05,2020-02-15/2020-02-21,2.151808696103649
2020-02-21,327.0,call,6.71,6.63,6.48,5,6.78,560,397,19657,2020-02-21,0.25443,0.93101,0.0299,-0.30798,0.02318,0.00832,2020-02-15/2020-02-21,put,0.01,0.01,0.0,0,0.01,2566,12805,43333,2020-02-21,0.16266,-0.01033,0.00966,-0.03878,0.00479,-9e-05,2020-02-15/2020-02-21,-2.1410187329211885
2020-02-21,327.5,call,6.19,6.13,5.98,5,6.29,5,30,4218,2020-02-21,0.23903,0.9273,0.03313,-0.30149,0.02413,0.0083,2020-02-15/2020-02-21,put,0.01,0.01,0.01,2340,0.02,5574,3588,13657,2020-02-21,0.15154,-0.01099,0.01094,-0.03811,0.00505,-0.0001,2020-02-15/2020-02-21,-0.8755781443333548
2020-02-21,328.0,call,4.84,5.63,5.48,5,5.78,5,734,38223,2020-02-21,0.22349,0.92307,0.037,-0.29459,0.02519,0.00828,2020-02-15/2020-02-21,put,0.01,0.01,0.01,2339,0.02,4798,10374,53903,2020-02-21,0.14041,-0.01178,0.01254,-0.03751,0.00537,-0.00011,2020-02-15/2020-02-21,-1.4303027852954022
2020-02-21,329.0,call,4.41,4.69,4.59,5,4.78,5,1346,15105,2020-02-21,0.21175,0.89061,0.05067,-0.35878,0.03269,0.00801,2020-02-15/2020-02-21,put,0.01,0.01,0.01,2285,0.02,4715,5717,23684,2020-02-21,0.11785,-0.01381,0.01714,-0.03607,0.00615,-0.00013,2020-02-15/2020-02-21,-0.7991379598713517
2020-02-21,330.0,call,3.66,3.6,3.48,33,3.73,5,23046,102133,2020-02-21,0.14894,0.91229,0.06127,-0.22009,0.02781,0.00824,2020-02-15/2020-02-21,put,0.01,0.01,0.01,2021,0.02,4466,179906,137869,2020-02-21,0.09483,-0.01681,0.02523,-0.03431,0.00729,-0.00015,2020-02-15/2020-02-21,-3.2129589940976495
2020-02-21,332.0,call,1.68,1.65,1.63,10,1.67,5,31704,61609,2020-02-21,0.09285,0.82292,0.16025,-0.22226,0.04533,0.00747,2020-02-15/2020-02-21,put,0.02,0.01,0.01,6554,0.02,1123,180021,78187,2020-02-21,0.0462,-0.03156,0.08799,-0.02816,0.01239,-0.00029,2020-02-15/2020-02-21,-1.5101205593034006
2020-02-21,335.5,call,0.01,0.01,0.0,0,0.01,5498,17094,0,2020-02-21,0.0587,0.0256,0.05818,-0.03091,0.01041,0.00023,2020-02-15/2020-02-21,put,1.9,1.87,1.85,5,1.89,10,7871,5011,2020-02-21,0.04861,-1.0,0.0,0.01452,0.0,-0.00919,2020-02-15/2020-02-21,-0.48200007828946
2020-02-21,336.0,call,0.01,0.01,0.0,0,0.01,3721,36115,0,2020-02-21,0.07075,0.02172,0.04204,-0.03237,0.00906,0.0002,2020-02-15/2020-02-21,put,2.38,2.37,2.35,5,2.39,10,22121,23310,2020-02-21,0.06064,-1.0,0.0,0.01454,0.0,-0.00921,2020-02-15/2020-02-21,-2.108487212557127
2020-02-21,337.0,call,0.01,0.01,0.0,0,0.01,4134,17804,0,2020-02-21,0.09407,0.01695,0.02561,-0.03477,0.00734,0.00015,2020-02-15/2020-02-21,put,3.33,3.37,3.34,151,3.39,10,16561,19977,2020-02-21,0.08471,-1.0,0.0,0.01459,0.0,-0.00923,2020-02-15/2020-02-21,-1.8122370557991545
2020-02-21,337.5,call,0.01,0.01,0.0,0,0.01,4116,419,19275,2020-02-21,0.10535,0.01529,0.02094,-0.03562,0.00672,0.00014,2020-02-15/2020-02-21,put,4.1,3.84,3.79,5,3.9,50,3454,6669,2020-02-21,0.09674,-1.0,0.0,0.01461,0.0,-0.00925,2020-02-15/2020-02-21,1.0838682120211298
2020-02-21,338.0,call,0.01,0.01,0.0,0,0.01,5850,9046,0,2020-02-21,0.11648,0.01397,0.01752,-0.03641,0.00622,0.00013,2020-02-15/2020-02-21,put,4.27,4.34,4.27,5,4.41,5,11843,22508,2020-02-21,0.10877,-1.0,0.0,0.01463,0.0,-0.00926,2020-02-15/2020-02-21,-2.037202296349538
2020-02-21,339.0,call,0.01,0.01,0.0,0,0.01,6669,155,0,2020-02-21,0.13843,0.01203,0.01295,-0.03798,0.00546,0.00011,2020-02-15/2020-02-21,put,5.31,5.38,5.23,540,5.52,5,3459,9183,2020-02-21,0.13284,-1.0,0.0,0.01467,0.0,-0.00929,2020-02-15/2020-02-21,-0.8528238568655957
2020-02-21,340.0,call,0.01,0.01,0.0,0,0.01,8342,5943,0,2020-02-21,0.15977,0.01055,0.01002,-0.03911,0.00488,0.0001,2020-02-15/2020-02-21,put,6.53,6.37,6.22,11,6.52,5,4819,11778,2020-02-21,0.1569,-1.0,0.0,0.01472,0.0,-0.00931,2020-02-15/2020-02-21,-1.0834776692829189
2020-02-21,343.0,call,0.01,0.01,0.0,0,0.01,6897,3,22644,2020-02-21,0.22166,0.00783,0.00556,-0.04174,0.00376,7e-05,2020-02-15/2020-02-21,put,9.83,9.37,9.21,5,9.52,5,5,546,2020-02-21,0.22909,-1.0,0.0,0.01485,0.0,-0.0094,2020-02-15/2020-02-21,1.9275545270366332
2020-02-24,330.0,call,3.76,3.96,3.93,5,4.0,5,2485,833,2020-02-21,0.13553,0.80798,0.06666,-0.19802,0.08258,0.02182,2020-02-15/2020-02-21,put,0.33,0.33,0.32,69,0.33,351,58699,5980,2020-02-21,0.12212,-0.16732,0.06785,-0.1517,0.07573,-0.00461,2020-02-15/2020-02-21,-0.494088293506707
2020-02-24,332.0,call,2.4,2.33,2.32,131,2.35,5,4052,1028,2020-02-21,0.11983,0.66524,0.10053,-0.22941,0.11011,0.01804,2020-02-15/2020-02-21,put,0.7,0.69,0.69,16,0.7,124,41954,7265,2020-02-21,0.10916,-0.32006,0.10837,-0.19207,0.10813,-0.00883,2020-02-15/2020-02-21,-0.5909717831155248
2020-02-24,333.0,call,1.64,1.64,1.63,12,1.65,5,18240,1025,2020-02-21,0.11312,0.56287,0.1152,-0.23263,0.11911,0.01529,2020-02-15/2020-02-21,put,1.0,0.99,0.98,105,1.0,208,57340,14706,2020-02-21,0.10245,-0.43105,0.12687,-0.1966,0.11881,-0.0119,2020-02-15/2020-02-21,-1.2526237983889557
2020-02-24,334.0,call,1.04,1.03,1.02,116,1.04,5,43194,2304,2020-02-21,0.10382,0.44155,0.12573,-0.21279,0.11932,0.01202,2020-02-15/2020-02-21,put,1.35,1.39,1.38,22,1.4,150,52194,20178,2020-02-21,0.09407,-0.56482,0.13842,-0.17838,0.11902,-0.0156,2020-02-15/2020-02-21,-1.6253141396089308
2020-02-24,335.0,call,0.57,0.56,0.56,30,0.57,5,48017,3239,2020-02-21,0.09514,0.30576,0.12192,-0.17249,0.10602,0.00833,2020-02-15/2020-02-21,put,1.88,1.9,1.88,176,1.93,98,21198,13359,2020-02-21,0.08203,-0.72252,0.13514,-0.12801,0.10132,-0.01996,2020-02-15/2020-02-21,-0.9361081043550107
2020-02-24,338.0,call,0.03,0.04,0.03,791,0.04,2573,33031,12663,2020-02-21,0.08355,0.03951,0.03377,-0.03648,0.02579,0.00108,2020-02-15/2020-02-21,put,4.35,4.38,4.26,5,4.5,5,2432,4004,2020-02-21,0.05439,-1.0,0.0,0.01463,0.0,-0.02778,2020-02-15/2020-02-21,0.7330433189147043
2020-02-24,339.0,call,0.02,0.01,0.01,1854,0.02,4163,12336,10457,2020-02-21,0.07959,0.01211,0.01308,-0.0128,0.00952,0.00033,2020-02-15/2020-02-21,put,5.9,5.37,5.24,5,5.49,5,1545,2184,2020-02-21,0.06642,-1.0,0.0,0.01467,0.0,-0.02786,2020-02-15/2020-02-21,0.698734119842224
2020-02-24,340.0,call,0.01,0.01,0.01,75,0.02,12443,9873,17892,2020-02-21,0.09193,0.01063,0.01011,-0.01317,0.0085,0.00029,2020-02-15/2020-02-21,put,6.56,6.37,6.24,5,6.49,5,2191,2220,2020-02-21,0.07845,-1.0,0.0,0.01472,0.0,-0.02794,2020-02-15/2020-02-21,1.3563863580217128
2020-02-24,341.0,call,0.01,0.01,0.0,0,0.01,3755,1347,30471,2020-02-21,0.10398,0.00946,0.00808,-0.01344,0.00768,0.00026,2020-02-15/2020-02-21,put,8.05,7.37,7.24,5,7.49,5,176,1270,2020-02-21,0.09048,-1.0,0.0,0.01476,0.0,-0.02802,2020-02-15/2020-02-21,2.5588971203315256
2020-02-26,320.0,call,14.21,13.78,13.63,5,13.92,5,34,181,2020-02-21,0.22913,0.94063,0.01321,-0.11863,0.04611,0.04108,2020-02-15/2020-02-21,put,0.1,0.08,0.08,3543,0.09,497,2236,37158,2020-02-21,0.18705,-0.02835,0.00889,-0.04699,0.02534,-0.00131,2020-02-15/2020-02-21,-3.3232639579550285
2020-02-26,325.0,call,8.91,8.95,8.82,5,9.08,5,213,219,2020-02-21,0.18492,0.88704,0.02655,-0.15074,0.0748,0.0393,2020-02-15/2020-02-21,put,0.27,0.27,0.26,188,0.27,1710,5559,6542,2020-02-21,0.16617,-0.08927,0.02489,-0.10339,0.063,-0.00412,2020-02-15/2020-02-21,-0.5986158015617251
2020-02-26,345.0,call,0.02,0.01,0.0,0,0.01,6622,595,6647,2020-02-21,0.11648,0.00678,0.00417,-0.00871,0.0074,0.00031,2020-02-15/2020-02-21,put,11.4,11.36,11.21,5,11.51,5,1,55,2020-02-21,0.09241,-1.0,0.0,0.01493,0.0,-0.04725,2020-02-15/2020-02-21,0.5493202243996343
2020-02-28,315.0,call,18.35,18.85,18.7,5,19.0,5,10,201,2020-02-21,0.25961,0.94653,0.00907,-0.10601,0.05024,0.05692,2020-02-15/2020-02-21,put,0.12,0.11,0.1,2302,0.11,2555,18643,20396,2020-02-21,0.21846,-0.02809,0.00639,-0.04602,0.02975,-0.00182,2020-02-15/2020-02-21,-1.831613753720918
2020-02-28,317.0,call,17.35,16.88,16.73,5,17.03,5,52,462,2020-02-21,0.24193,0.93804,0.01093,-0.1103,0.05642,0.05675,2020-02-15/2020-02-21,put,0.14,0.14,0.13,1543,0.14,1887,3091,17283,2020-02-21,0.20687,-0.03641,0.00835,-0.05393,0.03686,-0.00236,2020-02-15/2020-02-21,-1.5317193556106876
2020-02-28,317.5,call,18.52,16.39,16.25,5,16.54,5,0,494,2020-02-21,0.23781,0.93533,0.0115,-0.11187,0.05833,0.05668,2020-02-15/2020-02-21,put,0.16,0.15,0.14,1553,0.15,2356,3243,9664,2020-02-21,0.20428,-0.03915,0.00898,-0.05649,0.03911,-0.00253,2020-02-15/2020-02-21,-0.8516683657051236
2020-02-28,318.0,call,15.54,15.91,15.76,5,16.05,5,18,427,2020-02-21,0.23522,0.93119,0.0122,-0.11557,0.06119,0.0565,2020-02-15/2020-02-21,put,0.15,0.15,0.15,1605,0.16,2051,4050,7506,2020-02-21,0.19894,-0.04006,0.00939,-0.05603,0.03984,-0.00259,2020-02-15/2020-02-21,-0.665812056739951
2020-02-28,319.0,call,14.15,14.93,14.79,5,15.08,5,37,916,2020-02-21,0.22623,0.92539,0.0135,-0.11793,0.06512,0.05632,2020-02-15/2020-02-21,put,0.22,0.18,0.18,204,0.19,2575,1029,7237,2020-02-21,0.19513,-0.04771,0.01102,-0.06325,0.04588,-0.00309,2020-02-15/2020-02-21,-0.5984380336908832
2020-02-28,320.0,call,13.67,13.97,13.83,5,14.11,5,59,1293,2020-02-21,0.21983,0.91629,0.01515,-0.12417,0.07104,0.05592,2020-02-15/2020-02-21,put,0.21,0.21,0.21,1433,0.22,1133,17245,17301,2020-02-21,0.1901,-0.05569,0.0128,-0.06964,0.05188,-0.0036,2020-02-15/2020-02-21,-1.4594567161134684
2020-02-28,321.0,call,12.99,13.02,12.88,5,13.15,5,15,1347,2020-02-21,0.21388,0.90537,0.01706,-0.13141,0.07783,0.05541,2020-02-15/2020-02-21,put,0.25,0.26,0.25,2264,0.26,5,3747,12659,2020-02-21,0.18751,-0.06766,0.0151,-0.07991,0.0604,-0.00438,2020-02-15/2020-02-21,-1.0420577553767636
2020-02-28,322.0,call,11.92,12.07,11.95,5,12.2,5,329,8656,2020-02-21,0.20702,0.89377,0.01918,-0.13761,0.08469,0.05485,2020-02-15/2020-02-21,put,0.31,0.32,0.31,472,0.32,963,8127,13974,2020-02-21,0.18461,-0.08153,0.01769,-0.09065,0.06965,-0.00528,2020-02-15/2020-02-21,-0.5092874464636867
2020-02-28,323.0,call,11.19,11.17,11.07,5,11.27,5,160,3575,2020-02-21,0.20458,0.87532,0.02175,-0.15083,0.0949,0.05384,2020-02-15/2020-02-21,put,0.39,0.39,0.38,398,0.4,2583,7552,14179,2020-02-21,0.18157,-0.09774,0.02058,-0.10194,0.07971,-0.00633,2020-02-15/2020-02-21,-0.9791279290987426
2020-02-28,324.0,call,9.69,10.21,10.17,5,10.25,5,111,2174,2020-02-21,0.19468,0.86312,0.02438,-0.15277,0.10122,0.05324,2020-02-15/2020-02-21,put,0.47,0.47,0.47,34,0.48,887,7184,9430,2020-02-21,0.17791,-0.11601,0.02377,-0.11293,0.0902,-0.00751,2020-02-15/2020-02-21,-0.6815445133094563
2020-02-28,325.0,call,9.21,9.32,9.28,5,9.36,5,583,2199,2020-02-21,0.19056,0.84152,0.02748,-0.16374,0.11167,0.05203,2020-02-15/2020-02-21,put,0.58,0.57,0.57,186,0.58,217,36961,22924,2020-02-21,0.17455,-0.13782,0.02732,-0.12478,0.1017,-0.00892,2020-02-15/2020-02-21,-1.8787222394940128
2020-02-28,327.0,call,7.43,7.58,7.55,5,7.62,5,372,2000,2020-02-21,0.1808,0.79055,0.03446,-0.18271,0.13289,0.04911,2020-02-15/2020-02-21,put,0.85,0.84,0.84,191,0.85,119,3528,14900,2020-02-21,0.16846,-0.1933,0.03525,-0.14957,0.12665,-0.01252,2020-02-15/2020-02-21,-1.1832054448252065
2020-02-28,328.0,call,6.63,6.76,6.74,85,6.78,5,746,1567,2020-02-21,0.17699,0.75823,0.03818,-0.19288,0.14414,0.0472,2020-02-15/2020-02-21,put,1.01,1.02,1.01,161,1.02,110,6808,6979,2020-02-21,0.16571,-0.22762,0.03945,-0.16169,0.13942,-0.01475,2020-02-15/2020-02-21,-0.5176425363932544
2020-02-28,330.0,call,5.02,5.19,5.17,73,5.2,5,3410,4760,2020-02-21,0.16769,0.6831,0.04599,-0.20665,0.16448,0.04269,2020-02-15/2020-02-21,put,1.44,1.44,1.43,200,1.44,17,44518,33452,2020-02-21,0.15733,-0.30633,0.0483,-0.17766,0.16208,-0.01987,2020-02-15/2020-02-21,-2.5868605529925923
2020-02-28,331.0,call,4.54,4.45,4.43,111,4.46,5,2117,3416,2020-02-21,0.16266,0.63911,0.04984,-0.20995,0.17292,0.04002,2020-02-15/2020-02-21,put,1.7,1.69,1.69,200,1.7,14,8845,18746,2020-02-21,0.15215,-0.35227,0.05284,-0.18118,0.17146,-0.02285,2020-02-15/2020-02-21,-1.3991934078980754
2020-02-28,333.0,call,3.08,3.08,3.07,4,3.09,214,12116,9610,2020-02-21,0.15108,0.53736,0.05693,-0.20557,0.18343,0.03378,2020-02-15/2020-02-21,put,2.34,2.33,2.32,202,2.34,196,21721,15940,2020-02-21,0.14178,-0.46072,0.06063,-0.17893,0.18335,-0.02991,2020-02-15/2020-02-21,-0.5992379891096716
2020-02-28,335.0,call,1.9,1.89,1.88,177,1.9,215,15275,7643,2020-02-21,0.13736,0.41542,0.06147,-0.1826,0.18008,0.02621,2020-02-15/2020-02-21,put,3.06,3.15,3.13,203,3.16,98,12461,20014,2020-02-21,0.12852,-0.5908,0.06547,-0.15607,0.17945,-0.03839,2020-02-15/2020-02-21,-1.1361858429875324
2020-02-28,338.0,call,0.65,0.62,0.62,197,0.63,217,25486,21032,2020-02-21,0.11556,0.20773,0.05366,-0.11213,0.13225,0.01317,2020-02-15/2020-02-21,put,4.79,4.89,4.87,42,4.91,1,4176,5278,2020-02-21,0.10398,-0.81773,0.05508,-0.07869,0.12214,-0.05324,2020-02-15/2020-02-21,1.3636748407262294
2020-02-28,339.0,call,0.39,0.38,0.37,1440,0.38,5,9968,42075,2020-02-21,0.10977,0.1463,0.04523,-0.08512,0.10589,0.00928,2020-02-15/2020-02-21,put,5.65,5.64,5.51,5,5.78,5,629,3962,2020-02-21,0.09346,-0.89225,0.04292,-0.04399,0.08556,-0.05815,2020-02-15/2020-02-21,3.3510307528028873
2020-02-28,340.0,call,0.23,0.21,0.21,667,0.22,476,19970,30436,2020-02-21,0.10398,0.09401,0.03493,-0.05887,0.07745,0.00597,2020-02-15/2020-02-21,put,6.5,6.46,6.35,5,6.58,5,1525,4945,2020-02-21,0.07425,-0.96773,0.02108,-0.00345,0.03338,-0.06313,2020-02-15/2020-02-21,2.229137719919861
2020-02-28,341.0,call,0.12,0.12,0.12,20,0.13,2870,12796,22191,2020-02-21,0.10154,0.0597,0.0253,-0.0406,0.0548,0.0038,2020-02-15/2020-02-21,put,8.17,7.38,7.25,5,7.52,5,1091,2191,2020-02-21,0.04524,-1.0,0.0,0.01476,0.0,-0.06538,2020-02-15/2020-02-21,1.7410760305235142
2020-02-28,342.0,call,0.07,0.07,0.06,1805,0.07,2476,2863,39122,2020-02-21,0.10093,0.03784,0.01767,-0.02797,0.03804,0.00241,2020-02-15/2020-02-21,put,8.9,8.36,8.21,5,8.51,5,334,2020,2020-02-21,0.05126,-1.0,0.0,0.0148,0.0,-0.06557,2020-02-15/2020-02-21,3.261169094092323
2020-02-28,343.0,call,0.04,0.04,0.04,170,0.05,4969,2320,8123,2020-02-21,0.10047,0.02306,0.01177,-0.01843,0.02522,0.00147,2020-02-15/2020-02-21,put,9.37,9.36,9.21,5,9.51,5,8,280,2020-02-21,0.05727,-1.0,0.0,0.01484,0.0,-0.06576,2020-02-15/2020-02-21,0.6605140276112225
2020-02-28,344.0,call,0.03,0.03,0.02,3146,0.03,4103,2502,13745,2020-02-21,0.10474,0.01729,0.00884,-0.01503,0.01976,0.0011,2020-02-15/2020-02-21,put,9.61,10.36,10.21,5,10.51,5,5,3783,2020-02-21,0.06329,-1.0,0.0,0.01489,0.0,-0.06595,2020-02-15/2020-02-21,0.848859086768181
2020-02-28,345.0,call,0.02,0.03,0.02,12,0.03,6920,2031,19501,2020-02-21,0.11312,0.01615,0.00772,-0.01529,0.01863,0.00103,2020-02-15/2020-02-21,put,11.2,11.36,11.21,5,11.51,5,10,1645,2020-02-21,0.06931,-1.0,0.0,0.01493,0.0,-0.06614,2020-02-15/2020-02-21,1.5505088729810321
2020-03-02,315.0,call,16.17,18.95,18.8,5,19.09,5,0,3,2020-02-21,0.22699,0.93915,0.00961,-0.08819,0.06648,0.08061,2020-02-15/2020-02-21,put,0.22,0.18,0.18,228,0.19,1809,698,21227,2020-02-21,0.20001,-0.03991,0.00779,-0.0469,0.04748,-0.0037,2020-02-15/2020-02-21,-1.923075323269059
2020-03-02,325.0,call,9.32,9.59,9.55,5,9.63,5,235,625,2020-02-21,0.17638,0.81903,0.02704,-0.13957,0.14533,0.0722,2020-02-15/2020-02-21,put,0.91,0.83,0.82,5,0.84,148,2768,23470,2020-02-21,0.16647,-0.16746,0.02727,-0.11269,0.13833,-0.01553,2020-02-15/2020-02-21,-2.0671561825863924
2020-03-06,315.0,call,24.5,19.46,19.33,5,19.59,5,0,103,2020-02-21,0.23827,0.89581,0.01162,-0.11259,0.1181,0.10712,2020-02-15/2020-02-21,put,0.65,0.61,0.6,195,0.62,1177,2496,4954,2020-02-21,0.22227,-0.08925,0.01112,-0.08236,0.10541,-0.01165,2020-02-15/2020-02-21,-0.4677786486221106
