expiration,strike,type_call,last_call,mark_call,bid_call,bid_size_call,ask_call,ask_size_call,volume_call,open_interest_call,date_call,implied_volatility_call,delta_call,gamma_call,theta_call,vega_call,rho_call,week_call,type_put,last_put,mark_put,bid_put,bid_size_put,ask_put,ask_size_put,volume_put,open_interest_put,date_put,implied_volatility_put,delta_put,gamma_put,theta_put,vega_put,rho_put,week_put,open_interest_diff,z_score
2020-02-14,327.0,call,10.6,10.73,10.64,249,10.81,5,154,1996,2020-02-14,0.36007,0.95585,0.01467,-0.31047,0.0165,0.00855,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5363,7,25856,2020-02-14,0.24879,-0.00695,0.00441,-0.04249,0.00342,-6e-05,2020-02-08/2020-02-14,-2.0197865392587766,-2.0186849375737452
2020-02-14,330.0,call,7.58,7.71,7.62,5,7.8,5,1243,3894,2020-02-14,0.26434,0.95111,0.02169,-0.25018,0.0179,0.00859,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5340,57,32525,2020-02-14,0.18492,-0.0091,0.00751,-0.03995,0.00434,-8e-05,2020-02-08/2020-02-14,-2.3972338214286486,-2.3959263581072676
2020-02-14,333.0,call,4.6,4.69,4.62,5,4.76,5,1405,7458,2020-02-14,0.16861,0.94107,0.03942,-0.18852,0.02075,0.00858,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5318,11097,42329,2020-02-14,0.11907,-0.0135,0.01644,-0.0362,0.00611,-0.00013,2020-02-08/2020-02-14,-2.89089784170532,-2.8893211315571055
2020-02-14,334.0,call,3.58,3.69,3.62,5,3.76,5,4944,13475,2020-02-14,0.13919,0.93071,0.05416,-0.17727,0.02354,0.00851,2020-02-08/2020-02-14,put,0.01,0.01,0.0,0,0.01,5410,15847,71446,2020-02-14,0.09635,-0.01631,0.0239,-0.0344,0.00719,-0.00015,2020-02-08/2020-02-14,-4.718404070614153,-4.715830629424296
2020-02-18,334.0,call,3.85,3.91,3.86,5,3.96,5,966,2706,2020-02-14,0.09773,0.85768,0.06517,-0.10953,0.07954,0.0313,2020-02-08/2020-02-14,put,0.21,0.21,0.2,1,0.21,4302,13401,20893,2020-02-14,0.09224,-0.1286,0.06441,-0.08367,0.0742,-0.00478,2020-02-08/2020-02-14,-1.5709794900553218,-1.5701226699806472
2020-02-19,339.0,call,0.66,0.67,0.66,5,0.67,60,36221,30709,2020-02-14,0.0773,0.33397,0.11913,-0.11599,0.14378,0.01535,2020-02-08/2020-02-14,put,2.01,1.96,1.95,220,1.98,91,1413,1030,2020-02-14,0.07471,-0.67153,0.12245,-0.09681,0.14283,-0.03132,2020-02-08/2020-02-14,2.2158349321503144,2.2146264046908217
2020-02-21,325.0,call,12.82,12.95,12.86,5,13.04,5,248,29920,2020-02-14,0.18507,0.93431,0.01477,-0.0921,0.05976,0.05801,2020-02-08/2020-02-14,put,0.14,0.12,0.12,8627,0.13,3150,10874,95913,2020-02-14,0.15885,-0.03973,0.01154,-0.04488,0.04007,-0.0026,2020-02-08/2020-02-14,-5.35304714283522,-5.350127564138175
2020-02-21,326.0,call,11.8,11.97,11.88,250,12.06,5,92,24747,2020-02-14,0.17669,0.92697,0.01679,-0.09487,0.06485,0.05772,2020-02-08/2020-02-14,put,0.15,0.15,0.15,340,0.16,8027,20970,58572,2020-02-14,0.15519,-0.0493,0.01406,-0.05213,0.04768,-0.00322,2020-02-08/2020-02-14,-2.808145828049968,-2.806614251264072
2020-02-21,327.0,call,10.56,11.0,10.91,200,11.09,5,888,20146,2020-02-14,0.16907,0.91731,0.01928,-0.09899,0.07126,0.05728,2020-02-08/2020-02-14,put,0.18,0.17,0.17,8511,0.18,1982,6732,43815,2020-02-14,0.14818,-0.0571,0.01654,-0.05586,0.05357,-0.00373,2020-02-08/2020-02-14,-2.00467598992018,-2.0035826296043675
2020-02-21,335.0,call,3.64,3.69,3.67,5,3.7,211,6000,56008,2020-02-14,0.11114,0.70184,0.06673,-0.13878,0.1621,0.04473,2020-02-08/2020-02-14,put,0.92,0.93,0.92,200,0.93,1458,42580,34804,2020-02-14,0.10748,-0.29212,0.06835,-0.11897,0.16058,-0.01909,2020-02-08/2020-02-14,1.5453537507649309,1.5445109070966903
2020-02-21,339.0,call,1.11,1.1,1.09,1288,1.1,25,11681,28742,2020-02-14,0.08934,0.38064,0.0912,-0.11917,0.1781,0.02443,2020-02-08/2020-02-14,put,2.39,2.34,2.33,230,2.35,46,4078,5164,2020-02-14,0.08614,-0.62382,0.09425,-0.09997,0.17746,-0.04084,2020-02-08/2020-02-14,1.7331675943766005,1.7322223160982793
2020-02-21,340.0,call,0.71,0.7,0.7,2349,0.71,1998,29807,77544,2020-02-14,0.08507,0.28445,0.08528,-0.10049,0.15858,0.01828,2020-02-08/2020-02-14,put,3.01,2.96,2.95,36,2.97,153,4035,6596,2020-02-14,0.08264,-0.72134,0.08693,-0.08201,0.15701,-0.04727,2020-02-08/2020-02-14,5.480742055996142,5.477752831854504
2020-02-21,341.0,call,0.44,0.43,0.43,1711,0.44,373,19193,28189,2020-02-14,0.08279,0.19993,0.07232,-0.08029,0.13086,0.01286,2020-02-08/2020-02-14,put,3.82,3.67,3.66,5,3.69,25,446,3295,2020-02-14,0.07837,-0.81327,0.07328,-0.05822,0.12552,-0.05336,2020-02-08/2020-02-14,1.8372800704477703,1.8362780087040464
2020-02-21,342.0,call,0.25,0.26,0.25,483,0.26,4490,7681,26071,2020-02-14,0.08218,0.13447,0.05636,-0.06138,0.10123,0.00866,2020-02-08/2020-02-14,put,4.59,4.53,4.48,5,4.58,5,723,1075,2020-02-14,0.07959,-0.87325,0.05586,-0.04229,0.09718,-0.05741,2020-02-08/2020-02-14,1.8453495784715237,1.8443431155777459
2020-02-21,344.0,call,0.08,0.08,0.07,4687,0.08,9255,22014,22515,2020-02-14,0.08111,0.05057,0.02745,-0.02893,0.04866,0.00326,2020-02-08/2020-02-14,put,6.41,6.39,6.33,5,6.45,5,5142,1813,2020-02-14,0.08385,-0.94355,0.02896,-0.01773,0.05309,-0.06232,2020-02-08/2020-02-14,1.5056391132362628,1.5048179301300526
2020-02-24,341.0,call,0.56,0.58,0.57,1423,0.59,757,1819,29124,2020-02-14,0.07791,0.23055,0.06984,-0.06953,0.1699,0.02117,2020-02-08/2020-02-14,put,4.5,3.81,3.8,29,3.83,69,38,233,2020-02-14,0.07654,-0.77352,0.07038,-0.05291,0.16821,-0.07259,2020-02-08/2020-02-14,2.153494027025632,2.1523195006077334
2020-02-28,325.0,call,12.62,13.37,13.25,5,13.49,5,70,2080,2020-02-14,0.16236,0.89087,0.01742,-0.08412,0.12362,0.11023,2020-02-08/2020-02-14,put,0.49,0.48,0.48,80,0.49,4476,3645,20497,2020-02-14,0.15458,-0.09826,0.01695,-0.06179,0.11456,-0.01291,2020-02-08/2020-02-14,-1.5891754395206477,-1.5883086952840866
2020-02-28,339.0,call,1.97,1.98,1.98,5,1.99,55,3276,30550,2020-02-14,0.0959,0.42909,0.06192,-0.09509,0.2596,0.0548,2020-02-08/2020-02-14,put,3.16,3.12,3.1,200,3.13,408,1175,2123,2020-02-14,0.09376,-0.57267,0.06328,-0.07836,0.25938,-0.07535,2020-02-08/2020-02-14,2.116785676799931,2.1156311712999245
2020-03-02,325.0,call,13.4,13.5,13.41,5,13.59,5,0,652,2020-02-14,0.15398,0.88168,0.01766,-0.07765,0.14431,0.13235,2020-02-08/2020-02-14,put,0.6,0.56,0.56,5,0.57,1646,466,23783,2020-02-14,0.14681,-0.10757,0.0173,-0.05662,0.13481,-0.01717,2020-02-08/2020-02-14,-1.9621132907360692,-1.961043144329365
2020-03-20,327.0,call,12.98,13.16,13.14,1,13.18,1,65,11977,2020-02-14,0.14788,0.77417,0.01944,-0.07712,0.31419,0.238,2020-02-08/2020-02-14,put,2.32,2.29,2.28,317,2.3,2058,2239,35061,2020-02-14,0.15489,-0.23555,0.019,-0.06764,0.32167,-0.07845,2020-02-08/2020-02-14,-1.9583949880192417,-1.957326869593445
2020-03-20,334.0,call,7.38,7.45,7.43,45,7.47,30,799,30116,2020-02-14,0.12395,0.63231,0.02908,-0.07867,0.39391,0.19755,2020-02-08/2020-02-14,put,3.78,3.77,3.76,125,3.78,217,3170,7513,2020-02-14,0.13477,-0.37674,0.02695,-0.07076,0.39699,-0.12558,2020-02-08/2020-02-14,1.6560325912083704,1.655129382746742
2020-03-20,335.0,call,6.66,6.72,6.7,36,6.74,36,2854,107186,2020-02-14,0.12074,0.60488,0.03051,-0.07799,0.40257,0.18937,2020-02-08/2020-02-14,put,4.08,4.08,4.07,20,4.08,220,8510,17666,2020-02-14,0.13233,-0.40279,0.02798,-0.07043,0.40462,-0.1343,2020-02-08/2020-02-14,6.950025418909339,6.946234840269633
2020-03-20,338.0,call,4.69,4.69,4.68,49,4.7,1,2269,33621,2020-02-14,0.11114,0.5107,0.03432,-0.07345,0.41691,0.16083,2020-02-08/2020-02-14,put,5.22,5.17,5.16,73,5.18,101,1067,4003,2020-02-14,0.12532,-0.48886,0.03044,-0.06727,0.4169,-0.16321,2020-02-08/2020-02-14,2.211009049900815,2.2098031545016483
2020-03-20,339.0,call,4.08,4.09,4.08,7,4.1,89,1802,29509,2020-02-14,0.10824,0.47548,0.03519,-0.07114,0.41627,0.15,2020-02-08/2020-02-14,put,5.72,5.62,5.61,73,5.63,103,273,1404,2020-02-14,0.12364,-0.51969,0.03083,-0.06574,0.41655,-0.17362,2020-02-08/2020-02-14,2.091311347548474,2.090170735875109
2020-03-20,340.0,call,3.52,3.53,3.52,34,3.54,72,8459,116556,2020-02-14,0.10535,0.43865,0.03579,-0.06828,0.41212,0.13862,2020-02-08/2020-02-14,put,6.17,6.12,6.1,37,6.14,5,4562,6435,2020-02-14,0.12242,-0.5509,0.03092,-0.06403,0.41366,-0.18421,2020-02-08/2020-02-14,8.579828701236217,8.575149219731191
2020-03-20,342.0,call,2.5,2.54,2.53,37,2.55,86,2118,35799,2020-02-14,0.10017,0.362,0.0358,-0.06125,0.39185,0.11475,2020-02-08/2020-02-14,put,7.4,7.23,7.16,5,7.31,5,71,1675,2020-02-14,0.12044,-0.6133,0.0304,-0.05957,0.40013,-0.20547,2020-02-08/2020-02-14,2.5674914337736805,2.566091111098599
2020-03-20,345.0,call,1.42,1.44,1.43,69,1.44,834,10456,32186,2020-02-14,0.09407,0.24895,0.03224,-0.04812,0.33147,0.07921,2020-02-08/2020-02-14,put,9.4,9.28,9.17,5,9.39,5,50,4293,2020-02-14,0.12166,-0.69725,0.02745,-0.05284,0.36498,-0.23462,2020-02-08/2020-02-14,2.0745394289108696,2.073407964725852
2020-03-20,347.0,call,0.91,0.93,0.92,287,0.93,961,1123,36741,2020-02-14,0.09102,0.18233,0.0278,-0.03858,0.27653,0.05813,2020-02-08/2020-02-14,put,10.91,10.86,10.7,5,11.01,5,11,1532,2020-02-14,0.12486,-0.74273,0.02471,-0.04883,0.33725,-0.25085,2020-02-08/2020-02-14,2.6533288475557626,2.651881708725695
2020-03-20,350.0,call,0.45,0.46,0.45,2958,0.46,168,2521,40296,2020-02-14,0.08828,0.10556,0.01978,-0.02559,0.19083,0.03373,2020-02-08/2020-02-14,put,13.56,13.54,13.39,5,13.69,5,200,15157,2020-02-14,0.13584,-0.78829,0.02039,-0.04664,0.30273,-0.26818,2020-02-08/2020-02-14,1.8566627122695307,1.8556500791359711
2020-03-31,342.0,call,2.83,2.93,2.92,519,2.94,55,202,24229,2020-02-14,0.09468,0.37858,0.03352,-0.05231,0.45581,0.15738,2020-02-08/2020-02-14,put,8.56,7.8,7.74,5,7.87,5,26,2540,2020-02-14,0.11968,-0.59354,0.02705,-0.05147,0.46492,-0.26237,2020-02-08/2020-02-14,1.5837234702896401,1.582859699584378
2020-03-31,345.0,call,1.76,1.79,1.78,5,1.79,120,755,199345,2020-02-14,0.08995,0.27403,0.0309,-0.04296,0.39921,0.11434,2020-02-08/2020-02-14,put,10.54,9.75,9.64,5,9.85,5,20,1456,2020-02-14,0.11983,-0.67062,0.0252,-0.04627,0.43371,-0.29762,2020-02-08/2020-02-14,15.523403017204634,15.514936475523726
2020-03-31,346.0,call,1.33,1.5,1.49,5,1.5,258,225,42209,2020-02-14,0.08889,0.24197,0.02931,-0.03963,0.37424,0.10106,2020-02-08/2020-02-14,put,11.25,10.47,10.35,5,10.59,5,34,121,2020-02-14,0.12029,-0.69412,0.02433,-0.04436,0.42034,-0.30852,2020-02-08/2020-02-14,3.1975459622165356,3.195802004649002
2020-03-31,350.0,call,0.66,0.69,0.68,5,0.69,829,359,29708,2020-02-14,0.08568,0.13454,0.02109,-0.02611,0.25961,0.05638,2020-02-08/2020-02-14,put,14.12,13.73,13.55,5,13.92,5,30,7692,2020-02-14,0.12745,-0.76749,0.02,-0.03891,0.36613,-0.34385,2020-02-08/2020-02-14,1.609593363659908,1.608715483385355
2020-04-17,325.0,call,15.71,15.95,15.92,99,15.98,10,119,8901,2020-02-14,0.1334,0.77734,0.01593,-0.05494,0.41816,0.42543,2020-02-08/2020-02-14,put,3.5,3.45,3.44,1006,3.46,5,4441,38264,2020-02-14,0.15611,-0.25432,0.01465,-0.05186,0.44975,-0.15415,2020-02-08/2020-02-14,-2.4551444084226426,-2.453805360377345
2020-04-17,346.0,call,2.37,2.39,2.38,110,2.4,398,3369,188098,2020-02-14,0.09376,0.2941,0.0262,-0.04016,0.48326,0.16725,2020-02-08/2020-02-14,put,11.52,11.21,11.11,5,11.3,5,0,218,2020-02-14,0.12105,-0.65885,0.02161,-0.03932,0.51458,-0.40327,2020-02-08/2020-02-14,14.731562764167903,14.723528096123175
2020-04-17,350.0,call,1.32,1.33,1.33,5,1.34,787,8158,36301,2020-02-14,0.09056,0.19285,0.02156,-0.03037,0.3841,0.11008,2020-02-08/2020-02-14,put,14.96,14.21,14.06,5,14.36,5,61,1429,2020-02-14,0.1241,-0.73269,0.0189,-0.03412,0.46143,-0.45147,2020-02-08/2020-02-14,2.6266678259478717,2.6252352281723943
2020-05-15,326.0,call,16.29,16.74,16.72,45,16.77,5,1,1905,2020-02-14,0.13416,0.73048,0.01461,-0.051,0.55687,0.5731,2020-02-08/2020-02-14,put,5.3,5.04,5.03,5,5.05,5,155,50804,2020-02-14,0.15489,-0.29401,0.01319,-0.04491,0.58072,-0.26003,2020-02-08/2020-02-14,-4.000692533442684,-3.998510535716454
2020-05-15,327.0,call,15.16,15.96,15.93,97,15.98,5,95,2734,2020-02-14,0.13279,0.71692,0.01512,-0.05141,0.57044,0.56362,2020-02-08/2020-02-14,put,5.3,5.25,5.24,139,5.26,5,674,51411,2020-02-14,0.15291,-0.30586,0.01361,-0.04497,0.5912,-0.27053,2020-02-08/2020-02-14,-3.983129486567456,-3.980957067814873
